row_num,count,mean,sd
0,3.0,0.17647058823529413,0.3812200410828153
1,0.0,0.0,0.0
2,4.0,0.19047619047619047,0.392676726249301
3,3.0,0.17647058823529413,0.3812200410828153
4,3.0,0.1875,0.3903123748998999
5,7.0,0.28,0.44899888641287294
6,0.0,0.0,0.0
7,1.0,0.1,0.30000000000000004
8,0.0,0.0,0.0
9,1.0,0.06666666666666667,0.24944382578492943
10,1.0,0.07692307692307693,0.26646935501059654
11,1.0,0.08333333333333333,0.2763853991962833
12,4.0,0.2222222222222222,0.41573970964154905
13,2.0,0.13333333333333333,0.33993463423951903
14,2.0,0.11764705882352941,0.32218973970892123
15,0.0,0.0,0.0
16,1.0,0.08333333333333333,0.2763853991962833
17,3.0,0.17647058823529413,0.3812200410828153
18,3.0,0.1875,0.3903123748998999
19,3.0,0.16666666666666666,0.372677996249965
20,1.0,0.07692307692307693,0.26646935501059654
21,0.0,0.0,0.0
22,1.0,0.07692307692307693,0.26646935501059654
23,3.0,0.1875,0.5266343608235224
24,3.0,0.16666666666666666,0.372677996249965
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,1.0,0.06666666666666667,0.24944382578492943
28,0.0,0.0,0.0
29,1.0,0.07692307692307693,0.26646935501059654
