row_num,count,mean,sd
0,5.0,0.22727272727272727,0.4190702026042222
1,3.0,0.1875,0.3903123748998999
2,2.0,0.11764705882352941,0.32218973970892123
3,9.0,0.3103448275862069,0.46263475396547377
4,5.0,0.23809523809523808,0.4259177099999599
5,6.0,0.24,0.4270831300812524
6,1.0,0.07142857142857142,0.2575393768188564
7,6.0,0.2608695652173913,0.5289358721998452
8,8.0,0.2857142857142857,0.45175395145262565
9,7.0,0.23333333333333334,0.42295258468165065
10,3.0,0.17647058823529413,0.3812200410828153
11,0.0,0.0,0.0
12,2.0,0.13333333333333333,0.33993463423951903
13,7.0,0.28,0.44899888641287294
14,3.0,0.1875,0.3903123748998999
15,4.0,0.2,0.4
16,12.0,0.35294117647058826,0.4778846120374094
17,2.0,0.125,0.33071891388307384
18,6.0,0.2727272727272727,0.4453617714151233
19,10.0,0.3333333333333333,0.47140452079103173
20,10.0,0.2702702702702703,0.44409937095013474
21,5.0,0.22727272727272727,0.4190702026042222
22,3.0,0.17647058823529413,0.3812200410828153
23,11.0,0.3333333333333333,0.4714045207910317
24,4.0,0.23529411764705882,0.42418250299576343
25,4.0,0.2222222222222222,0.41573970964154905
26,2.0,0.11764705882352941,0.32218973970892123
27,6.0,0.25,0.4330127018922193
28,5.0,0.22727272727272727,0.4190702026042222
29,13.0,0.3611111111111111,0.48032267960529396
