row_num,count,mean,sd
0,10.0,0.3333333333333333,0.47140452079103173
1,4.0,0.21052631578947367,0.40768245749551757
2,4.0,0.19047619047619047,0.392676726249301
3,4.0,0.2222222222222222,0.41573970964154905
4,13.0,0.35135135135135137,0.47739247926096473
5,6.0,0.2608695652173913,0.43910891036356864
6,3.0,0.16666666666666666,0.372677996249965
7,8.0,0.2857142857142857,0.45175395145262565
8,8.0,0.27586206896551724,0.44694763437295587
9,4.0,0.21052631578947367,0.40768245749551757
10,9.0,0.2727272727272727,0.4453617714151233
11,5.0,0.25,0.4330127018922193
12,4.0,0.19047619047619047,0.392676726249301
13,11.0,0.2972972972972973,0.457068500683453
14,5.0,0.19230769230769232,0.3941134909984461
15,10.0,0.3333333333333333,0.47140452079103173
16,10.0,0.37037037037037035,0.5543196128553988
17,2.0,0.14285714285714285,0.3499271061118826
18,5.0,0.2631578947368421,0.44034738238635557
19,2.0,0.13333333333333333,0.33993463423951903
20,5.0,0.19230769230769232,0.3941134909984461
21,4.0,0.2222222222222222,0.41573970964154905
22,3.0,0.15789473684210525,0.36464227527765836
23,3.0,0.15789473684210525,0.36464227527765836
24,5.0,0.23809523809523808,0.4259177099999599
25,10.0,0.35714285714285715,0.47915742374995496
26,4.0,0.18181818181818182,0.385694607919935
27,3.0,0.17647058823529413,0.3812200410828153
28,4.0,0.21052631578947367,0.40768245749551757
29,3.0,0.21428571428571427,0.41032590332414487
